protein,task_id
TRIB2 (Trb2),f4bc293a-55c8-42f8-836a-cb45186b585f
TRIB3 (Trb3),f2ab8f35-0504-4056-8e50-854934511400
KALRN (Trad),6cbb9a69-c0de-4c04-9978-29d71ca41265
OBSCN,af5022d5-e194-405f-90f7-962f7beb8b7f
OBSCN-b (Obscn~b),8cc8ee06-8e26-4e94-9b86-7aea4832fdfe
SPEG,2ce5ff68-cd64-495f-a788-c055a9ecaec6
SPEG-b (SPEG~b),cb2afe39-d1f5-480b-a4ea-246b79911f6f
TRIO,b40eb4c6-ee1f-4e7d-a5af-5672c0052bef
TSSK1B (TSSK1),3c55c598-b7fc-4dc5-99a4-8e67a5fb05a0
TSSK2,0c719e13-36d5-4068-bb81-b70a4bef9c2a
TSSK3,b50bbe94-b8ec-47e4-a5b3-d7d07951d884
TSSK4,b9a4f4b9-2923-4bce-bdf6-413e5fc14d15
TSSK6 (SSTK),7b012e1b-0e76-48f9-b279-fdd056318756
CAMKV (VACAMKL),a3a4096f-7b90-41f8-8d7d-a2267ce14afd
CSNK1A1 (CK1α),6d40c66b-ebc6-4fde-81b2-4154d5d9a861
CSNK1A1L (CK1α2),96abb75d-78cb-455d-8f07-b76315d2f03a
CSNK1D (CK1δ),d0c28e26-a6f7-4737-b795-fa7fcb013237
CSNK1E (CK1ε),1ab71cba-0b13-4af1-9188-582becdf9faf
CSNK1G1 (CK1γ1),ffc86b90-123d-4394-b1db-8802c18d5f41
CSNK1G2 (CK1γ2),d4dbcbb8-6432-4461-8f93-83d25f2b9b7b
CSNK1G3 (CK1γ3),dbc224e8-936b-4dc3-9852-524226ed41ab
TTBK1,1049e448-19aa-409f-a87f-072a43c7a149
TTBK2,c32adc54-32e1-4b41-b061-c69f5e4db246
VRK1,96ab0b8f-3e56-45ba-923f-900c86a284bb
VRK2,22143cc6-a86a-47a9-bf29-568319a29e70
VRK3,3184b232-6c32-46f1-a223-82ebc26241e2
CDK19 (CDK11),08c1c4fc-f293-4926-88ae-1a9352858d17
CDK8,f8f2829f-4806-4532-98d8-0f40e0f4f160
CDK11A,78035b3f-a94f-4b8a-aba4-b98abfde2943
CDK11B (PITSLRE),d1696e70-857b-474c-9995-163b511a625b
CDK12 (CRK7),e03731b6-ca45-42fa-89cc-64c861ba1518
CDK13 (CHED),bae42896-d980-454c-bea5-a70ead52dc82
CDKL1,70fcf10b-f8e1-485e-84d5-87ad32b85564
CDKL2,dd016c50-70d8-4126-bfe0-c04f60cd554c
CDKL3,3a9e267b-75d5-47a0-a0f9-8c628032eabc
CDKL4,cd2935b2-5962-4489-8f95-43575db122b2
CDKL5,94879a52-d879-4b25-8816-cbd0920fa01d
CSNK2A1 (CK2α1),25ebce0f-b22e-4718-b59b-b9302805922e
CSNK2A2 (CK2α2),75cc1fd9-2b31-4af0-849e-37f1cc6f02b9
CSNK2A3,866518a6-d558-4a20-875c-71698337bda5
CLK1,9f4b0d9e-1a74-4739-8d7f-c1d87fa0d743
CLK2,aaab5225-e7ae-42bc-a80f-5fd2b7b5b742
CLK3,f48f5d6c-17cd-4433-a393-1fe83663fa92
CLK4,49f0ad70-c894-48df-ba21-fd8098f264a3
DYRK1A,64983b63-d27c-4372-8e55-dffc3e094485
DYRK1B,ac11cf3d-45c2-433d-86d8-97115d903fda
DYRK2,9d1442e5-de7a-42d9-8b7a-03a16357cf91
DYRK3,5e5302eb-0c38-4fcc-ae97-5f648d27067e
DYRK4,d99f8709-5758-4622-a45f-2750f69110c2
HIPK1,a07dd5fc-2d1f-4667-8d1b-a9cdb601f1e5
